team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Osasuna,450,38519,Francisco Mérida Pérez,Midfielder,Fran Mérida,Francisco,Mérida Pérez,8,1158,23,23,12,11,9,,23,8,9,1,1,,3,23,2,4,19,,,,,,,,,9,2,7,,4,,758,578,180,725,548,78,293,190,197,486,125,92,55,250,30,332,167,3,13,17,4,7,3,1,2,140,75,65,125,67,58,15,8,7,27,15,12,,9,25,105,4
Osasuna,450,484702,Aimar Oroz,Midfielder,,Aimar,Oroz,34,10,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,5,4,1,2,1,1,3,1,1,,,1,4,,,,,,,,,,2,,2,2,,2,,,,,,,,,,1,
Osasuna,450,421115,Luis Perea,Midfielder,,Luis,Perea,28,19,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,8,7,2,3,,3,7,,,1,3,,4,1,,,,,,,,,5,2,3,1,1,,4,1,3,,,,,1,,,
Osasuna,450,78874,Iñigo Pérez,Midfielder,Iñigo Pérez,Iñigo,Pérez,21,1073,22,22,11,11,3,1,7,,14,1,1,,2,23,1,1,22,2,1,1,,2,,,,13,7,6,2,6,3,520,399,121,495,377,67,221,111,121,374,84,25,37,144,23,266,138,5,17,40,11,6,21,5,13,86,40,46,67,33,34,19,7,12,15,11,4,,5,12,63,1
Osasuna,450,208765,Juan Pérez,Goalkeeper,Juan Pérez,Juan,Pérez,25,180,2,2,2,,,,,,,,,,,3,1,1,2,,,,,,,,,,,,,,,54,22,32,24,11,,47,4,3,9,,13,32,12,7,10,25,,,,,,,,,2,1,1,2,1,1,,,,1,1,,1,,,20,
Osasuna,450,61814,Raúl Rodríguez Navas,Defender,Raúl Navas,Raúl,Rodríguez Navas,3,710,9,9,8,1,1,,1,1,2,,,,,11,,3,8,,,,,,,,,,,,,,,272,215,57,245,195,15,128,65,64,189,20,26,37,149,18,66,39,,,,,,,,,60,24,36,36,15,21,24,9,15,10,5,5,,28,18,40,4
Osasuna,450,54794,Facundo Roncaglia,Defender,,Facundo,Roncaglia,12,1282,16,16,15,1,2,,18,3,4,,,,,21,3,3,18,1,,1,1,,,,,2,2,,,1,,514,391,123,492,373,40,239,128,107,342,75,49,48,238,46,154,85,1,8,8,1,,,,,144,88,56,80,53,27,64,35,29,24,20,4,,39,22,106,3
Osasuna,450,56916,Oier Sanjurjo,Defender,,Oier,Sanjurjo,6,2328,29,29,27,2,8,2,8,5,13,1,1,,,31,2,5,26,2,2,,1,,1,,,14,5,9,,4,,983,693,290,978,688,104,421,223,235,642,211,51,79,283,87,413,210,3,7,7,3,6,,,,344,193,151,204,111,93,140,82,58,64,34,30,,39,35,171,8
Osasuna,450,141115,Brandon Thomas Llamas,Forward,Brandon,Brandon,Thomas Llamas,11,408,8,8,5,3,5,,4,4,3,1,1,,1,7,2,2,5,,,,,,,,,8,2,6,,,,111,76,35,107,72,45,17,21,28,75,34,1,1,31,8,48,28,3,1,1,3,3,,,,60,20,40,42,15,27,18,5,13,5,3,2,,1,,19,
Osasuna,450,90402,Roberto Torres,Midfielder,,Roberto,Torres,10,2721,36,36,31,5,11,1,20,19,35,8,6,,3,40,4,5,35,7,7,,6,1,,5,5,65,24,41,6,13,9,936,659,277,892,621,178,343,283,132,603,204,56,73,218,50,476,352,19,77,125,35,21,70,14,40,226,113,113,170,84,86,56,29,27,33,16,17,,36,31,148,2
Osasuna,450,230598,Ignacio Vidal Miralles,Defender,Nacho Vidal,Ignacio,Vidal Miralles,2,2332,30,30,26,4,3,,25,11,22,,,,2,33,3,4,29,,,,,,,,,16,3,13,2,1,,961,672,289,938,651,104,439,364,54,593,184,79,105,331,82,354,260,13,53,53,13,13,,,,255,153,102,163,106,57,92,47,45,45,29,16,,51,44,129,6
Osasuna,450,56449,Juan Villar,Forward,,Juan,Villar,18,234,10,10,2,8,2,6,1,1,3,,,1,,4,1,,4,1,1,,1,,,1,1,5,3,2,,,,81,52,29,77,48,22,23,20,16,52,23,,6,16,8,36,22,,1,1,,2,,,,32,12,20,17,4,13,15,8,7,1,,1,,,1,12,1
Osasuna,450,205992,Ezequiel Ávila,Forward,Chimy Avila,Ezequiel,Ávila,9,1593,20,20,18,2,4,24,16,10,20,2,2,,,22,2,3,19,9,7,2,5,2,2,,,54,28,26,2,15,,290,166,124,272,149,48,77,74,91,150,110,16,14,42,11,128,132,4,19,19,4,20,,,,315,132,183,157,71,86,158,61,97,17,12,5,,5,3,52,
Granada CF,5683,125945,Ramón Azeez,Midfielder,,Ramón,Azeez,12,1354,25,25,14,11,7,1,4,7,6,,,,,14,1,3,11,2,2,,1,,1,,,14,4,10,2,6,,366,291,75,361,287,78,121,96,71,274,64,17,11,126,31,165,51,,7,7,,7,,,,138,52,86,87,33,54,51,19,32,11,8,3,,11,19,72,2
